ts	elapsed	rss_kb	threads	fds	tcp_est	crawled_bytes	discovered_bytes	disk_free_mb	rss_kb_0	rss_kb_1
1789631626	8793	4389652	201	90010	17559	15728505	184365811	90970	2152560	2237092
1789631656	8823	4351260	201	90810	17692	15796925	184799322	90972	2137048	2214212
1789631687	8854	4345736	201	90870	19538	15861987	185141435	90983	2129660	2216076
1789631717	8884	4357120	201	90387	18711	15927814	185698369	90988	2140152	2216968
1789631747	8914	4368268	201	90980	18020	15995834	186344370	90984	2156048	2212220
1789631778	8945	4385816	201	91044	18370	16037577	186931097	90975	2171528	2214288
1789631808	8975	4367352	201	91244	18272	16151769	187648670	90976	2146260	2221092
1789631838	9005	4363552	201	88924	18590	16194003	188110889	90986	2134912	2228640
1789631869	9036	4400016	201	90430	17455	16288266	188843072	90978	2179860	2220156
1789631899	9066	4349500	201	91149	18953	16331154	189405078	90986	2135308	2214192
1789631930	9097	4357760	201	90578	17376	16397387	190357121	90976	2141228	2216532
1789631960	9127	4369412	201	90178	17512	16465062	190886975	90976	2144040	2225372
1789631991	9158	4410036	201	89769	17398	16537944	191391567	90960	2190020	2220016
1789632021	9188	4418708	201	90379	17559	16606859	191940424	90947	2150140	2268568
1789632052	9219	4392004	201	90229	17291	16656607	192416360	90948	2154220	2237784
1789632082	9249	4391040	201	90620	17167	16721962	193194704	90927	2143336	2247704
1789632113	9280	4384468	201	89265	16413	16747047	193707806	90925	2140284	2244184
1789632143	9310	4378688	201	88925	16102	16816147	194272979	90918	2150668	2228020
1789632174	9341	4424380	201	89289	17147	16885838	194878608	90902	2174300	2250080
1789632204	9371	4383972	201	88510	16156	16958165	195552516	90888	2152752	2231220
1789632235	9402	4392708	201	89040	16370	17021772	196043805	90891	2147924	2244784
1789632265	9432	4367696	201	89145	17905	17088576	196456758	90891	2135852	2231844
1789632295	9462	4374588	201	89022	16885	17159826	196895016	90891	2138492	2236096
1789632326	9493	4378656	201	89573	17420	17230691	197277957	90895	2137332	2241324
1789632356	9523	4400160	201	89267	17813	17276233	197996392	90896	2147800	2252360
1789632387	9554	4384292	201	88966	16827	17349646	198515829	90895	2155956	2228336
1789632417	9584	4367004	201	89820	17615	17391389	199069936	90896	2139284	2227720
1789632447	9614	4357844	201	89660	17189	17435296	199538069	90900	2129756	2228088
1789632478	9645	4356992	201	88370	17060	17525761	200224350	90901	2138368	2218624
1789632508	9675	4370592	201	89261	17611	17573436	200743884	90900	2144336	2226256
1789632539	9706	4383056	201	89164	17087	17622350	201534348	90895	2136224	2246832
1789632569	9736	4392260	201	87962	16784	17705205	202010757	90898	2149460	2242800
1789632599	9766	4374264	201	88918	17283	17777763	202565131	90894	2132924	2241340
1789632630	9797	4368936	201	88913	16940	17824074	203110650	90898	2129488	2239448
1789632660	9827	4380132	201	88789	17091	17873385	203557919	90904	2140384	2239748
1789632691	9858	4361580	201	89128	17041	17962652	204122419	90907	2137816	2223764
1789632721	9888	4385052	201	89860	17321	17986897	204771646	90893	2139312	2245740
1789632752	9919	4365240	201	89522	16818	18060965	205534365	90893	2135468	2229772
1789632782	9949	4379120	201	90084	17730	18126712	206196181	90895	2144340	2234780
1789632813	9980	4372940	201	89705	16620	18193739	206936992	90891	2151448	2221492
1789632843	10010	4359720	201	89071	17669	18261292	207367390	90951	2139304	2220416
1789632873	10040	4359696	201	90021	18462	18285872	207865019	90936	2134536	2225160
1789632904	10071	4376892	201	88850	17923	18354177	208171686	90943	2145392	2231500
1789632934	10101	4355384	201	89876	17286	18423283	208635403	90919	2134516	2220868
1789632965	10132	4371228	201	89075	16321	18467008	209166045	90910	2146024	2225204
1789632995	10162	4358388	201	88653	16270	18515756	209561586	90920	2132416	2225972
1789633026	10193	4352104	201	87686	17016	18585739	210023484	90908	2132052	2220052
1789633056	10223	4362056	201	87588	15804	18634791	210637868	90883	2134896	2227160
1789633087	10254	4351304	201	89262	16806	18701114	211238094	90881	2131284	2220020
1789633117	10284	4353116	201	87467	16302	18719596	211822392	90935	2132348	2220768
1789633147	10314	4377732	201	87545	15778	18792498	212381004	90927	2134452	2243280
1789633178	10345	4381240	201	89465	17358	18879324	212957143	90922	2160500	2220740
1789633208	10375	4341712	201	89707	17724	18928438	213458111	90922	2111024	2230688
1789633239	10406	4324336	201	89067	17471	19001187	214002110	90925	2125668	2198668
1789633269	10436	4304620	201	88577	16363	19051027	214340298	90930	2104196	2200424
1789633300	10467	4310368	201	88975	16006	19122496	214958928	90924	2112020	2198348
1789633330	10497	4298536	201	87294	14649	19145158	215512901	90933	2107768	2190768
1789633360	10527	4311976	201	88038	15108	19194672	215910431	90939	2119948	2192028
1789633391	10558	4296912	201	88560	15467	19289445	216509640	90938	2104084	2192828
