ts	elapsed	proc_cpu_pct	main_cpu_pct	lag_max_ms	lag_p50_ms	dl_active	dl_slots	dl_transferring	scraper_queued	scraper_active_kb	gc_max_ms	gc_total_ms	frontier	pqueues	robots_cached	robots_inflight	dns_cached	crawled	discovered	dupe_skipped	rss_mb	requests	responses	exceptions
1789627372	4537	97.1	96.9	10324	4549	949	6066	135	0	73426	3174	7788	3000069	40000	50000	453	123241	120746	4230873	3967360	2023	413498	306145	204060
1789627398	4564	94.2	93.7	6031	2113	1445	8202	29	0	37880	3018	7042	3000038	40000	50000	52	123888	121614	4248392	4006001	1981	416310	307472	205875
1789627430	4596	92.1	91.6	6707	2759	4068	8015	701	0	6824	3287	10796	3000005	39974	49829	1337	124611	122288	4269892	4040119	1969	420511	309463	207061
1789627459	4625	96.7	96.2	12456	5158	2956	9118	1616	0	1520	3188	7718	3000233	39954	49999	746	124984	123385	4302218	4089582	1968	422295	311397	208140
1789627489	4655	95.7	95.5	10964	2076	2284	6556	1057	0	36402	3211	7870	3000218	39941	50000	869	125577	124219	4330879	4123386	1978	424740	313500	209946
1789627519	4685	95.3	94.8	5699	3158	3803	8637	1687	0	35309	3025	7374	3000012	40000	49962	1626	126216	125056	4359767	4170092	1987	427442	315275	210451
1789627549	4714	95.3	94.9	8720	1818	1758	7375	554	0	48221	3379	8370	3000001	40000	50000	873	126421	125951	4378620	4213138	1993	430044	317835	212922
1789627576	4742	96.2	95.9	6534	2175	1045	8742	442	0	13559	2973	7274	3000196	40000	50000	400	126892	127025	4399831	4269765	1981	432469	319872	213894
1789627611	4776	95.5	95.3	8545	3291	1211	7248	498	0	20980	3160	10416	3000224	40000	50000	71	127249	127969	4427172	4316116	1979	435117	321678	215072
1789627637	4803	95.1	93.3	6008	2203	3498	9920	2158	0	6215	3440	8111	3000361	40000	50000	1174	128030	128441	4443043	4344214	1969	438904	323481	216351
1789627666	4832	95.4	94.9	8433	2265	3752	7292	2112	0	49091	3208	7464	3000094	39809	49977	1469	128070	129415	4465892	4393246	1984	441612	326089	216910
1789627696	4862	97.2	97.0	9404	4485	3084	8306	1612	0	2635	3095	7580	3000258	39824	50000	912	128637	130055	4513752	4425211	1969	443369	327425	218604
1789627726	4892	97.1	96.8	7169	1436	2453	6928	920	0	41563	3049	7583	3000015	39940	49985	1031	129408	130742	4542926	4471931	1979	445861	329752	219709
1789627759	4925	96.2	95.5	7536	3099	2036	8600	214	0	52014	3323	8192	3000383	40000	50000	1358	129766	131815	4575872	4521151	1996	448321	332734	220520
1789627794	4960	96.0	95.9	10613	5022	1041	6327	197	0	69115	3140	10751	3000141	40000	50000	455	129932	132995	4608084	4586718	2014	450890	334869	221167
1789627817	4982	84.0	83.1	5500	4310	3414	8472	595	0	28001	3136	4255	3000270	39991	49737	1616	130516	133360	4618856	4608704	1979	453219	336148	222002
1789627851	5017	96.5	96.2	8648	2607	1526	6287	385	0	58041	3220	11302	3000190	40000	50000	754	130951	134665	4650386	4663886	2005	455828	338667	223022
